         0: G20  2022-10-16  0: 0:59.9910000  Eliminate info: Lack of observations----..\PPP-ARISEN_v1.0\QPPPModel.cpp, line:683, fuction:SimpleSPP----                                            | 
         0: G02  2022-10-16  0: 0:59.9910000  Eliminate info: Lack of observations----..\PPP-ARISEN_v1.0\QPPPModel.cpp, line:683, fuction:SimpleSPP----                                            | 
         0: G13  2022-10-16  0: 0:59.9910000  Eliminate info: Lack of observations----..\PPP-ARISEN_v1.0\QPPPModel.cpp, line:683, fuction:SimpleSPP----                                            | 
         0: G20  2022-10-16  0: 0:59.9910000  Eliminate info: Lack of observations----..\PPP-ARISEN_v1.0\QPPPModel.cpp, line:683, fuction:SimpleSPP----                                            | 
         0: G02  2022-10-16  0: 0:59.9910000  Eliminate info: Lack of observations----..\PPP-ARISEN_v1.0\QPPPModel.cpp, line:683, fuction:SimpleSPP----                                            | 
         0: G13  2022-10-16  0: 0:59.9910000  Eliminate info: Lack of observations----..\PPP-ARISEN_v1.0\QPPPModel.cpp, line:683, fuction:SimpleSPP----                                            | 
         1: G20  2022-10-16  0: 1:29.9910000  Eliminate info: Lack of observations----..\PPP-ARISEN_v1.0\QPPPModel.cpp, line:683, fuction:SimpleSPP----                                            | 
         1: G02  2022-10-16  0: 1:29.9910000  Eliminate info: Lack of observations----..\PPP-ARISEN_v1.0\QPPPModel.cpp, line:683, fuction:SimpleSPP----                                            | 
         1: G13  2022-10-16  0: 1:29.9910000  Eliminate info: Lack of observations----..\PPP-ARISEN_v1.0\QPPPModel.cpp, line:683, fuction:SimpleSPP----                                            | 
         1: G20  2022-10-16  0: 1:29.9910000  Eliminate info: Lack of observations----..\PPP-ARISEN_v1.0\QPPPModel.cpp, line:683, fuction:SimpleSPP----                                            | 
         1: G02  2022-10-16  0: 1:29.9910000  Eliminate info: Lack of observations----..\PPP-ARISEN_v1.0\QPPPModel.cpp, line:683, fuction:SimpleSPP----                                            | 
         1: G13  2022-10-16  0: 1:29.9910000  Eliminate info: Lack of observations----..\PPP-ARISEN_v1.0\QPPPModel.cpp, line:683, fuction:SimpleSPP----                                            | 
         2: G20  2022-10-16  0: 1:59.9910000  Eliminate info: Lack of observations----..\PPP-ARISEN_v1.0\QPPPModel.cpp, line:683, fuction:SimpleSPP----                                            | 
         2: G02  2022-10-16  0: 1:59.9910000  Eliminate info: Lack of observations----..\PPP-ARISEN_v1.0\QPPPModel.cpp, line:683, fuction:SimpleSPP----                                            | 
         2: G13  2022-10-16  0: 1:59.9910000  Eliminate info: Lack of observations----..\PPP-ARISEN_v1.0\QPPPModel.cpp, line:683, fuction:SimpleSPP----                                            | 
         2: G20  2022-10-16  0: 1:59.9910000  Eliminate info: Lack of observations----..\PPP-ARISEN_v1.0\QPPPModel.cpp, line:683, fuction:SimpleSPP----                                            | 
         2: G02  2022-10-16  0: 1:59.9910000  Eliminate info: Lack of observations----..\PPP-ARISEN_v1.0\QPPPModel.cpp, line:683, fuction:SimpleSPP----                                            | 
         2: G13  2022-10-16  0: 1:59.9910000  Eliminate info: Lack of observations----..\PPP-ARISEN_v1.0\QPPPModel.cpp, line:683, fuction:SimpleSPP----                                            | 
         3: G20  2022-10-16  0: 2:29.9910000  Eliminate info: Lack of observations----..\PPP-ARISEN_v1.0\QPPPModel.cpp, line:683, fuction:SimpleSPP----                                            | 
         3: G02  2022-10-16  0: 2:29.9910000  Eliminate info: Lack of observations----..\PPP-ARISEN_v1.0\QPPPModel.cpp, line:683, fuction:SimpleSPP----                                            | 
         3: G13  2022-10-16  0: 2:29.9910000  Eliminate info: Lack of observations----..\PPP-ARISEN_v1.0\QPPPModel.cpp, line:683, fuction:SimpleSPP----                                            | 
