     epoch         Observation time         ZTD(m)    clk_G(m)    clk_C(m)    clk_R(m)    clk_E(m)
         0: 2022-10-19  0: 1: 0.0120000   -0.8894  3480351.1149      0.0000      0.0000      0.0000   
         1: 2022-10-19  0: 1:30.0120000   -7.9001  3483923.6934      0.0000      0.0000      0.0000   
         2: 2022-10-19  0: 2: 0.0120000   -4.8000  3487477.7431      0.0000      0.0000      0.0000   
         3: 2022-10-19  0: 2:30.0120000   -0.4077  3491037.5331      0.0000      0.0000      0.0000   
         4: 2022-10-19  0: 3: 0.0120000    1.4156  3494607.2298      0.0000      0.0000      0.0000   
         5: 2022-10-19  0: 3:30.0120000    2.3241  3498180.5925      0.0000      0.0000      0.0000   
         6: 2022-10-19  0: 4: 0.0120000    2.4331  3501758.7994      0.0000      0.0000      0.0000   
         7: 2022-10-19  0: 4:30.0120000    2.5917  3505344.1258      0.0000      0.0000      0.0000   
         8: 2022-10-19  0: 5: 0.0120000    2.5975  3508927.0390      0.0000      0.0000      0.0000   
         9: 2022-10-19  0: 5:30.0120000    2.6413  3512508.8204      0.0000      0.0000      0.0000   
        10: 2022-10-19  0: 6: 0.0120000    2.5805  3516082.5110      0.0000      0.0000      0.0000   
        11: 2022-10-19  0: 6:30.0120000    2.5822  3519663.1317      0.0000      0.0000      0.0000   
        12: 2022-10-19  0: 7: 0.0120000    2.5622  3523251.2903      0.0000      0.0000      0.0000   
        13: 2022-10-19  0: 7:30.0120000    2.5296  3526834.3105      0.0000      0.0000      0.0000   
        14: 2022-10-19  0: 8: 0.0120000    2.5165  3530405.6480      0.0000      0.0000      0.0000   
        15: 2022-10-19  0: 8:30.0120000    2.5579  3533968.8337      0.0000      0.0000      0.0000   
        16: 2022-10-19  0: 9: 0.0120000    2.5426  3537533.9479      0.0000      0.0000      0.0000   
        17: 2022-10-19  0: 9:30.0120000    2.5195  3541115.0528      0.0000      0.0000      0.0000   
        18: 2022-10-19  0:10: 0.0120000    2.4916  3544702.7660      0.0000      0.0000      0.0000   
        19: 2022-10-19  0:10:30.0120000    2.4437  3548277.4374      0.0000      0.0000      0.0000   
        20: 2022-10-19  0:11: 0.0120000    2.4246  3551846.2975      0.0000      0.0000      0.0000   
        21: 2022-10-19  0:11:30.0120000    2.4152  3555424.8558      0.0000      0.0000      0.0000   
        22: 2022-10-19  0:12: 0.0120000    2.4225  3559000.8805      0.0000      0.0000      0.0000   
        23: 2022-10-19  0:12:30.0120000    2.4644  3562571.9171      0.0000      0.0000      0.0000   
        24: 2022-10-19  0:13: 0.0120000    2.4598  3566150.0267      0.0000      0.0000      0.0000   
        25: 2022-10-19  0:13:30.0120000    2.4503  3569722.7838      0.0000      0.0000      0.0000   
        26: 2022-10-19  0:14: 0.0120000    2.4304  3573289.0526      0.0000      0.0000      0.0000   
        27: 2022-10-19  0:14:30.0120000    2.4207  3576854.4979      0.0000      0.0000      0.0000   
        28: 2022-10-19  0:15: 0.0120000    2.4254  3580414.5127      0.0000      0.0000      0.0000   
        29: 2022-10-19  0:15:30.0120000    2.4281  3583970.8133      0.0000      0.0000      0.0000   
        30: 2022-10-19  0:16: 0.0120000    2.4277  3587525.1522      0.0000      0.0000      0.0000   
        31: 2022-10-19  0:16:30.0120000    2.4273  3591077.1533      0.0000      0.0000      0.0000   
        32: 2022-10-19  0:17: 0.0120000    2.4307  3594631.1056      0.0000      0.0000      0.0000   
        33: 2022-10-19  0:17:30.0120000    2.4302  3598183.0733      0.0000      0.0000      0.0000   
        34: 2022-10-19  0:18: 0.0120000    2.4265  3601741.3809      0.0000      0.0000      0.0000   
        35: 2022-10-19  0:18:30.0120000    2.4212  3605310.8943      0.0000      0.0000      0.0000   
        36: 2022-10-19  0:19: 0.0120000    2.4187  3608889.1513      0.0000      0.0000      0.0000   
        37: 2022-10-19  0:19:30.0120000    2.4192  3612464.5312      0.0000      0.0000      0.0000   
        38: 2022-10-19  0:20: 0.0120000    2.4229  3616041.7813      0.0000      0.0000      0.0000   
        39: 2022-10-19  0:20:30.0120000    2.4233  3619624.3804      0.0000      0.0000      0.0000   
        40: 2022-10-19  0:21: 0.0120000    2.4198  3623204.5639      0.0000      0.0000      0.0000   
        41: 2022-10-19  0:21:30.0120000    2.4190  3626783.2694      0.0000      0.0000      0.0000   
        42: 2022-10-19  0:22: 0.0120000    2.4138  3630361.5292      0.0000      0.0000      0.0000   
        43: 2022-10-19  0:22:30.0120000    2.4105  3633939.4633      0.0000      0.0000      0.0000   
