     epoch             Observation time    num_of_sats         spp_x(m)         spp_y(m)         spp_z(m)         ppp_x(m)         ppp_y(m)         ppp_z(m)       sigam_x(m)       sigam_y(m)       sigam_z(m)
         0: 2022-10-21  0: 0:59.9920000              6      969180.9035     5628261.4074     2830347.0117      969175.1862     5628259.9765     2830348.9162       8.19546597      26.47820757      10.89849242 
         1: 2022-10-21  0: 1:29.9920000              7      969180.9035     5628261.4074     2830347.0117      969182.9197     5628268.4119     2830352.2445       2.79761837       2.17690113       1.78680286 
         2: 2022-10-21  0: 1:59.9920000              7      969180.9035     5628261.4074     2830347.0117      969183.7415     5628264.9334     2830350.3248       1.96167783       1.07354211       1.00072649 
         3: 2022-10-21  0: 2:29.9920000              8      969180.9035     5628261.4074     2830347.0117      969182.6678     5628264.6805     2830349.7709       1.44087487       0.67765915       0.67243007 
         4: 2022-10-21  0: 2:59.9920000              8      969180.9035     5628261.4074     2830347.0117      969182.0256     5628263.8824     2830349.2203       1.08180948       0.42336918       0.44085827 
         5: 2022-10-21  0: 3:29.9920000              8      969180.9035     5628261.4074     2830347.0117      969183.0198     5628263.3703     2830349.0866       0.84537900       0.28995268       0.31255904 
         6: 2022-10-21  0: 3:59.9920000              8      969180.9035     5628261.4074     2830347.0117      969182.2418     5628262.9410     2830348.6081       0.68346789       0.21499108       0.23739729 
         7: 2022-10-21  0: 4:29.9920000              8      969180.9035     5628261.4074     2830347.0117      969181.9489     5628262.7004     2830348.2816       0.56713599       0.16840190       0.18912464 
         8: 2022-10-21  0: 4:59.9920000              8      969180.9035     5628261.4074     2830347.0117      969181.6481     5628262.5617     2830348.1333       0.48022770       0.13705103       0.15579584 
         9: 2022-10-21  0: 5:29.9920000              8      969180.9035     5628261.4074     2830347.0117      969181.7328     5628262.6948     2830348.2095       0.41326104       0.11467819       0.13152651 
        10: 2022-10-21  0: 5:59.9920000              8      969180.9035     5628261.4074     2830347.0117      969181.6640     5628262.6493     2830348.2287       0.36035490       0.09799502       0.11313618 
        11: 2022-10-21  0: 6:29.9920000              8      969180.9035     5628261.4074     2830347.0117      969181.2768     5628262.6957     2830348.1940       0.31768722       0.08512735       0.09876628 
        12: 2022-10-21  0: 6:59.9920000              8      969180.9035     5628261.4074     2830347.0117      969181.2015     5628262.7497     2830348.2263       0.28267653       0.07493448       0.08726094 
        13: 2022-10-21  0: 7:29.9920000              8      969180.9035     5628261.4074     2830347.0117      969180.9490     5628262.7291     2830348.1823       0.25352281       0.06668460       0.07786463 
        14: 2022-10-21  0: 7:59.9930000              8      969180.9035     5628261.4074     2830347.0117      969180.7338     5628262.7065     2830348.1478       0.22893634       0.05988761       0.07006323 
        15: 2022-10-21  0: 8:29.9930000              8      969180.9035     5628261.4074     2830347.0117      969180.7187     5628262.6724     2830348.1504       0.20797181       0.05420358       0.06349533 
        16: 2022-10-21  0: 8:59.9930000              8      969180.9035     5628261.4074     2830347.0117      969180.7414     5628262.6363     2830348.1440       0.18992171       0.04938956       0.05789957 
        17: 2022-10-21  0: 9:29.9930000              8      969180.9035     5628261.4074     2830347.0117      969180.7072     5628262.6382     2830348.1505       0.17424717       0.04526750       0.05308249 
        18: 2022-10-21  0: 9:59.9930000              8      969180.9035     5628261.4074     2830347.0117      969180.7449     5628262.6323     2830348.1602       0.16053134       0.04170412       0.04889800 
        19: 2022-10-21  0:10:29.9930000              8      969180.9035     5628261.4074     2830347.0117      969180.8015     5628262.6112     2830348.1551       0.14844717       0.03859772       0.04523385 
        20: 2022-10-21  0:10:59.9930000              8      969180.9035     5628261.4074     2830347.0117      969180.8358     5628262.6018     2830348.1647       0.13773485       0.03586946       0.04200242 
        21: 2022-10-21  0:11:29.9930000              8      969180.9035     5628261.4074     2830347.0117      969180.8916     5628262.5949     2830348.1803       0.12818571       0.03345733       0.03913436 
        22: 2022-10-21  0:11:59.9930000              8      969180.9035     5628261.4074     2830347.0117      969180.8183     5628262.5961     2830348.1621       0.11963033       0.03131191       0.03657415 
        23: 2022-10-21  0:12:29.9930000              8      969180.9035     5628261.4074     2830347.0117      969180.8347     5628262.5909     2830348.1590       0.11192996       0.02939337       0.03427681 
        24: 2022-10-21  0:12:59.9930000              8      969180.9035     5628261.4074     2830347.0117      969180.7784     5628262.5888     2830348.1457       0.10496991       0.02766927       0.03220558 
        25: 2022-10-21  0:13:29.9930000              8      969180.9035     5628261.4074     2830347.0117      969180.8125     5628262.5811     2830348.1507       0.09865469       0.02611295       0.03033012 
        26: 2022-10-21  0:13:59.9930000              8      969180.9035     5628261.4074     2830347.0117      969180.8499     5628262.5828     2830348.1813       0.09290416       0.02470229       0.02862518 
        27: 2022-10-21  0:14:29.9930000              8      969180.9035     5628261.4074     2830347.0117      969180.8946     5628262.5665     2830348.1909       0.08765067       0.02341882       0.02706960 
        28: 2022-10-21  0:14:59.9930000              8      969180.9035     5628261.4074     2830347.0117      969180.9370     5628262.5581     2830348.1965       0.08283670       0.02224700       0.02564553 
