     epoch         Observation time         ZTD(m)    clk_G(m)    clk_C(m)    clk_R(m)    clk_E(m)
         0: 2022-10-18  0: 0:59.9890000   -2.5699  -3149154.0706      0.0000      0.0000      0.0000   
         1: 2022-10-18  0: 1:29.9900000    3.5310  -3145431.1158      0.0000      0.0000      0.0000   
         2: 2022-10-18  0: 1:59.9900000    3.2886  -3141684.4403      0.0000      0.0000      0.0000   
         3: 2022-10-18  0: 2:29.9900000    2.9673  -3137923.7383      0.0000      0.0000      0.0000   
         4: 2022-10-18  0: 2:59.9900000    2.7496  -3134167.9124      0.0000      0.0000      0.0000   
         5: 2022-10-18  0: 3:29.9900000    2.5845  -3130419.2782      0.0000      0.0000      0.0000   
         6: 2022-10-18  0: 3:59.9900000    2.5492  -3126668.1453      0.0000      0.0000      0.0000   
         7: 2022-10-18  0: 4:29.9900000    2.4717  -3122907.3329      0.0000      0.0000      0.0000   
         8: 2022-10-18  0: 4:59.9900000    2.3932  -3119139.5726      0.0000      0.0000      0.0000   
         9: 2022-10-18  0: 5:29.9900000    2.3855  -3115367.8193      0.0000      0.0000      0.0000   
        10: 2022-10-18  0: 5:59.9900000    2.4064  -3111596.8800      0.0000      0.0000      0.0000   
        11: 2022-10-18  0: 6:29.9900000    2.4205  -3107820.5593      0.0000      0.0000      0.0000   
        12: 2022-10-18  0: 6:59.9900000    2.3854  -3104050.9770      0.0000      0.0000      0.0000   
        13: 2022-10-18  0: 7:29.9900000    2.4079  -3100272.0401      0.0000      0.0000      0.0000   
        14: 2022-10-18  0: 7:59.9900000    2.4032  -3096490.7453      0.0000      0.0000      0.0000   
        15: 2022-10-18  0: 8:29.9900000    2.3944  -3092704.4735      0.0000      0.0000      0.0000   
        16: 2022-10-18  0: 8:59.9900000    2.3846  -3088917.2181      0.0000      0.0000      0.0000   
        17: 2022-10-18  0: 9:29.9900000    2.3727  -3085127.8195      0.0000      0.0000      0.0000   
        18: 2022-10-18  0: 9:59.9900000    2.3758  -3081341.7228      0.0000      0.0000      0.0000   
        19: 2022-10-18  0:10:29.9900000    2.3688  -3077548.3316      0.0000      0.0000      0.0000   
        20: 2022-10-18  0:10:59.9900000    2.3597  -3073747.4999      0.0000      0.0000      0.0000   
        21: 2022-10-18  0:11:29.9900000    2.3560  -3069942.1385      0.0000      0.0000      0.0000   
        22: 2022-10-18  0:11:59.9900000    2.3493  -3066142.2477      0.0000      0.0000      0.0000   
        23: 2022-10-18  0:12:29.9900000    2.3663  -3062356.4103      0.0000      0.0000      0.0000   
        24: 2022-10-18  0:12:59.9900000    2.3720  -3058574.3181      0.0000      0.0000      0.0000   
        25: 2022-10-18  0:13:29.9900000    2.3653  -3054787.1479      0.0000      0.0000      0.0000   
        26: 2022-10-18  0:13:59.9900000    2.3629  -3050992.9887      0.0000      0.0000      0.0000   
        27: 2022-10-18  0:14:29.9900000    2.3519  -3047199.2582      0.0000      0.0000      0.0000   
        28: 2022-10-18  0:14:59.9900000    2.3491  -3043414.1241      0.0000      0.0000      0.0000   
        29: 2022-10-18  0:15:29.9900000    2.3469  -3039625.4966      0.0000      0.0000      0.0000   
        30: 2022-10-18  0:15:59.9900000    2.3442  -3035839.7812      0.0000      0.0000      0.0000   
        31: 2022-10-18  0:16:29.9900000    2.3639  -3032054.3275      0.0000      0.0000      0.0000   
        32: 2022-10-18  0:16:59.9900000    2.3750  -3028271.1977      0.0000      0.0000      0.0000   
        33: 2022-10-18  0:17:29.9900000    2.3787  -3024482.5024      0.0000      0.0000      0.0000   
        34: 2022-10-18  0:17:59.9900000    2.3786  -3020692.8232      0.0000      0.0000      0.0000   
        35: 2022-10-18  0:18:29.9900000    2.3757  -3016907.3680      0.0000      0.0000      0.0000   
        36: 2022-10-18  0:18:59.9900000    2.3815  -3013124.0021      0.0000      0.0000      0.0000   
        37: 2022-10-18  0:19:29.9900000    2.3895  -3009345.5859      0.0000      0.0000      0.0000   
        38: 2022-10-18  0:19:59.9900000    2.3974  -3005565.4431      0.0000      0.0000      0.0000   
        39: 2022-10-18  0:20:29.9900000    2.4056  -3001784.4800      0.0000      0.0000      0.0000   
        40: 2022-10-18  0:20:59.9900000    2.4113  -2998006.8447      0.0000      0.0000      0.0000   
        41: 2022-10-18  0:21:29.9900000    2.4116  -2994236.0403      0.0000      0.0000      0.0000   
        42: 2022-10-18  0:21:59.9900000    2.4092  -2990467.2513      0.0000      0.0000      0.0000   
        43: 2022-10-18  0:22:29.9900000    2.4064  -2986699.4889      0.0000      0.0000      0.0000   
        44: 2022-10-18  0:22:59.9900000    2.4093  -2982926.8621      0.0000      0.0000      0.0000   
        45: 2022-10-18  0:23:29.9900000    2.4115  -2979160.4409      0.0000      0.0000      0.0000   
        46: 2022-10-18  0:23:59.9900000    2.4122  -2975405.4468      0.0000      0.0000      0.0000   
        47: 2022-10-18  0:24:29.9900000    2.4151  -2971651.3915      0.0000      0.0000      0.0000   
        48: 2022-10-18  0:24:59.9900000    2.4134  -2967892.9286      0.0000      0.0000      0.0000   
        49: 2022-10-18  0:25:29.9900000    2.4121  -2964140.8018      0.0000      0.0000      0.0000   
        50: 2022-10-18  0:25:59.9900000    2.4095  -2960395.3890      0.0000      0.0000      0.0000   
        51: 2022-10-18  0:26:29.9900000    2.4041  -2956651.5005      0.0000      0.0000      0.0000   
        52: 2022-10-18  0:26:59.9900000    2.4026  -2952908.6724      0.0000      0.0000      0.0000   
        53: 2022-10-18  0:27:29.9900000    2.4057  -2949166.7224      0.0000      0.0000      0.0000   
        54: 2022-10-18  0:27:59.9900000    2.4065  -2945424.2154      0.0000      0.0000      0.0000   
        55: 2022-10-18  0:28:29.9900000    2.4099  -2941677.9238      0.0000      0.0000      0.0000   
