     epoch             Observation time    num_of_sats         spp_x(m)         spp_y(m)         spp_z(m)         ppp_x(m)         ppp_y(m)         ppp_z(m)       sigam_x(m)       sigam_y(m)       sigam_z(m)
         0: 2022-10-22  0: 0:59.9930000              8      969180.8895     5628260.3835     2830346.9891      969181.6047     5628274.2205     2830353.5622       4.72112901      17.26648998       7.17955217 
         1: 2022-10-22  0: 1:29.9930000              8      969180.8895     5628260.3835     2830346.9891      969179.0261     5628264.7554     2830351.6010       2.40170514       1.17562816       1.04448590 
         2: 2022-10-22  0: 1:59.9930000              8      969180.8895     5628260.3835     2830346.9891      969177.7292     5628262.7325     2830350.1851       1.70390692       0.58282669       0.58969301 
         3: 2022-10-22  0: 2:29.9930000              8      969180.8895     5628260.3835     2830346.9891      969177.3532     5628263.1557     2830349.3587       1.25426742       0.37164097       0.40010224 
         4: 2022-10-22  0: 2:59.9930000              8      969180.8895     5628260.3835     2830346.9891      969178.4522     5628263.0605     2830349.0899       0.96147866       0.26591647       0.29593406 
         5: 2022-10-22  0: 3:29.9930000              8      969180.8895     5628260.3835     2830346.9891      969178.1665     5628262.7377     2830348.4887       0.76297991       0.20344346       0.23075458 
         6: 2022-10-22  0: 3:59.9930000              8      969180.8895     5628260.3835     2830346.9891      969178.2150     5628262.6316     2830348.3942       0.62255101       0.16265536       0.18661149 
         7: 2022-10-22  0: 4:29.9930000              8      969180.8895     5628260.3835     2830346.9891      969178.3947     5628262.6173     2830348.3380       0.51940949       0.13417917       0.15502369 
         8: 2022-10-22  0: 4:59.9930000              8      969180.8895     5628260.3835     2830346.9891      969179.0937     5628262.6413     2830348.4067       0.44123048       0.11331521       0.13147333 
         9: 2022-10-22  0: 5:29.9930000              8      969180.8895     5628260.3835     2830346.9891      969179.0767     5628262.6518     2830348.3472       0.38039207       0.09746000       0.11334623 
        10: 2022-10-22  0: 5:59.9930000              8      969180.8895     5628260.3835     2830346.9891      969179.5652     5628262.6722     2830348.3638       0.33199083       0.08506109       0.09903248 
        11: 2022-10-22  0: 6:29.9930000              8      969180.8895     5628260.3835     2830346.9891      969179.8936     5628262.6734     2830348.3217       0.29275879       0.07513864       0.08749059 
        12: 2022-10-22  0: 6:59.9930000              8      969180.8895     5628260.3835     2830346.9891      969180.0258     5628262.6440     2830348.3051       0.26044854       0.06704556       0.07801946 
        13: 2022-10-22  0: 7:29.9930000              8      969180.8895     5628260.3835     2830346.9891      969180.0897     5628262.6607     2830348.2848       0.23347144       0.06033840       0.07013134 
        14: 2022-10-22  0: 7:59.9930000              8      969180.8895     5628260.3835     2830346.9891      969180.3532     5628262.6360     2830348.2834       0.21067737       0.05470381       0.06347727 
        15: 2022-10-22  0: 8:29.9930000              8      969180.8895     5628260.3835     2830346.9891      969180.4238     5628262.6383     2830348.2697       0.19121602       0.04991453       0.05780166 
        16: 2022-10-22  0: 8:59.9930000              8      969180.8895     5628260.3835     2830346.9891      969180.3944     5628262.6360     2830348.2246       0.17444677       0.04580201       0.05291341 
        17: 2022-10-22  0: 9:29.9930000              8      969180.8895     5628260.3835     2830346.9891      969180.4737     5628262.6497     2830348.2312       0.15987889       0.04223881       0.04866704 
        18: 2022-10-22  0: 9:59.9930000              8      969180.8895     5628260.3835     2830346.9891      969180.5988     5628262.6435     2830348.2780       0.14713091       0.03912691       0.04495001 
        19: 2022-10-22  0:10:29.9930000              8      969180.8895     5628260.3835     2830346.9891      969180.6736     5628262.6351     2830348.2893       0.13590235       0.03638979       0.04167406 
        20: 2022-10-22  0:10:59.9930000              8      969180.8895     5628260.3835     2830346.9891      969180.7087     5628262.5931     2830348.2610       0.12595362       0.03396691       0.03876904 
        21: 2022-10-22  0:11:29.9930000              8      969180.8895     5628260.3835     2830346.9891      969180.6516     5628262.5795     2830348.2473       0.11709166       0.03180983       0.03617859 
        22: 2022-10-22  0:11:59.9930000              8      969180.8895     5628260.3835     2830346.9891      969180.6130     5628262.5687     2830348.2410       0.10915929       0.02987931       0.03385695 
        23: 2022-10-22  0:12:29.9930000              8      969180.8895     5628260.3835     2830346.9891      969180.6488     5628262.5620     2830348.2482       0.10202743       0.02814330       0.03176661 
        24: 2022-10-22  0:12:59.9930000              8      969180.8895     5628260.3835     2830346.9891      969180.6573     5628262.5772     2830348.2576       0.09558917       0.02657538       0.02987657 
        25: 2022-10-22  0:13:29.9930000              8      969180.8895     5628260.3835     2830346.9891      969180.6719     5628262.5887     2830348.2774       0.08975530       0.02515356       0.02816099 
        26: 2022-10-22  0:13:59.9930000              8      969180.8895     5628260.3835     2830346.9891      969180.6784     5628262.5870     2830348.2837       0.08445084       0.02385947       0.02659819 
        27: 2022-10-22  0:14:29.9930000              8      969180.8895     5628260.3835     2830346.9891      969180.6959     5628262.5963     2830348.2902       0.07961234       0.02267758       0.02516985 
        28: 2022-10-22  0:14:59.9930000              8      969180.8895     5628260.3835     2830346.9891      969180.7073     5628262.5932     2830348.2822       0.07518582       0.02159473       0.02386038 
        29: 2022-10-22  0:15:29.9930000              8      969180.8895     5628260.3835     2830346.9891      969180.6767     5628262.5893     2830348.2742       0.07112508       0.02059967       0.02265648 
        30: 2022-10-22  0:15:59.9930000              8      969180.8895     5628260.3835     2830346.9891      969180.6747     5628262.5979     2830348.2793       0.06739034       0.01968278       0.02154669 
        31: 2022-10-22  0:16:29.9930000              8      969180.8895     5628260.3835     2830346.9891      969180.7003     5628262.5941     2830348.2847       0.06394724       0.01883571       0.02052111 
        32: 2022-10-22  0:16:59.9930000              8      969180.8895     5628260.3835     2830346.9891      969180.7191     5628262.5915     2830348.2823       0.06076588       0.01805126       0.01957114 
        33: 2022-10-22  0:17:29.9930000              8      969180.8895     5628260.3835     2830346.9891      969180.7545     5628262.5937     2830348.2845       0.05782022       0.01732315       0.01868931 
        34: 2022-10-22  0:17:59.9930000              8      969180.8895     5628260.3835     2830346.9891      969180.7673     5628262.5902     2830348.2838       0.05508741       0.01664589       0.01786904 
        35: 2022-10-22  0:18:29.9930000              8      969180.8895     5628260.3835     2830346.9891      969180.7647     5628262.5849     2830348.2713       0.05254739       0.01601465       0.01710457 
        36: 2022-10-22  0:18:59.9930000              8      969180.8895     5628260.3835     2830346.9891      969180.7728     5628262.5878     2830348.2696       0.05018241       0.01542518       0.01639080 
        37: 2022-10-22  0:19:29.9930000              8      969180.8895     5628260.3835     2830346.9891      969180.7972     5628262.5954     2830348.2773       0.04797677       0.01487374       0.01572324 
        38: 2022-10-22  0:19:59.9930000              8      969180.8895     5628260.3835     2830346.9891      969180.8228     5628262.5945     2830348.2799       0.04591653       0.01435697       0.01509787 
        39: 2022-10-22  0:20:29.9930000              8      969180.8895     5628260.3835     2830346.9891      969180.8188     5628262.5845     2830348.2728       0.04398924       0.01387193       0.01451113 
        40: 2022-10-22  0:20:59.9930000              8      969180.8895     5628260.3835     2830346.9891      969180.8322     5628262.5794     2830348.2646       0.04218379       0.01341596       0.01395983 
        41: 2022-10-22  0:21:29.9930000              8      969180.8895     5628260.3835     2830346.9891      969180.8536     5628262.5709     2830348.2591       0.04049021       0.01298669       0.01344110 
        42: 2022-10-22  0:21:59.9930000              8      969180.8895     5628260.3835     2830346.9891      969180.8539     5628262.5663     2830348.2597       0.03889954       0.01258199       0.01295239 
        43: 2022-10-22  0:22:29.9930000              8      969180.8895     5628260.3835     2830346.9891      969180.8736     5628262.5601     2830348.2613       0.03740370       0.01219994       0.01249137 
        44: 2022-10-22  0:22:59.9930000              8      969180.8895     5628260.3835     2830346.9891      969180.9001     5628262.5581     2830348.2633       0.03599541       0.01183883       0.01205595 
        45: 2022-10-22  0:23:29.9930000              8      969180.8895     5628260.3835     2830346.9891      969180.9196     5628262.5527     2830348.2657       0.03466805       0.01149708       0.01164424 
        46: 2022-10-22  0:23:59.9930000              8      969180.8895     5628260.3835     2830346.9891      969180.9146     5628262.5512     2830348.2615       0.03341564       0.01117329       0.01125453 
        47: 2022-10-22  0:24:29.9930000              8      969180.8895     5628260.3835     2830346.9891      969180.9318     5628262.5439     2830348.2634       0.03223274       0.01086616       0.01088524 
        48: 2022-10-22  0:24:59.9930000              8      969180.8895     5628260.3835     2830346.9891      969180.9329     5628262.5424     2830348.2627       0.03111438       0.01057452       0.01053496 
        49: 2022-10-22  0:25:29.9940000              8      969180.8895     5628260.3835     2830346.9891      969180.9356     5628262.5393     2830348.2623       0.03005604       0.01029731       0.01020239 
        50: 2022-10-22  0:25:59.9940000              8      969180.8895     5628260.3835     2830346.9891      969180.9310     5628262.5382     2830348.2603       0.02905357       0.01003355       0.00988634 
        51: 2022-10-22  0:26:29.9940000              8      969180.8895     5628260.3835     2830346.9891      969180.9215     5628262.5391     2830348.2547       0.02810318       0.00978235       0.00958572 
        52: 2022-10-22  0:26:59.9940000              8      969180.8895     5628260.3835     2830346.9891      969180.9298     5628262.5383     2830348.2552       0.02720140       0.00954289       0.00929953 
        53: 2022-10-22  0:27:29.9940000              8      969180.8895     5628260.3835     2830346.9891      969180.9305     5628262.5423     2830348.2546       0.02634504       0.00931442       0.00902685 
        54: 2022-10-22  0:27:59.9940000              8      969180.8895     5628260.3835     2830346.9891      969180.9399     5628262.5424     2830348.2563       0.02553114       0.00909625       0.00876684 
        55: 2022-10-22  0:28:29.9940000              8      969180.8895     5628260.3835     2830346.9891      969180.9482     5628262.5411     2830348.2567       0.02475700       0.00888774       0.00851872 
        56: 2022-10-22  0:28:59.9940000              8      969180.8895     5628260.3835     2830346.9891      969180.9693     5628262.5383     2830348.2588       0.02402012       0.00868830       0.00828176 
        57: 2022-10-22  0:29:29.9940000              8      969180.8895     5628260.3835     2830346.9891      969180.9751     5628262.5374     2830348.2573       0.02331819       0.00849739       0.00805531 
        58: 2022-10-22  0:29:59.9940000              8      969180.8895     5628260.3835     2830346.9891      969180.9679     5628262.5381     2830348.2560       0.02264906       0.00831451       0.00783874 
        59: 2022-10-22  0:30:29.9940000              8      969180.8895     5628260.3835     2830346.9891      969180.9655     5628262.5361     2830348.2545       0.02201077       0.00813919       0.00763149 
        60: 2022-10-22  0:30:59.9940000              8      969180.8895     5628260.3835     2830346.9891      969180.9537     5628262.5362     2830348.2518       0.02140146       0.00797100       0.00743302 
